tournament_name,stage_name,group_stage,knockout_stage,match_date,team_name,opponent_name,home_team,away_team,goals_for,goals_against,is_host,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,yellow_cards,red_cards,team_prior_win_rate,team_prior_matches,extra_time,penalty_shootout,outcome,year
1974 FIFA Men's World Cup,second group stage,1,0,1974-07-03,Brazil,Netherlands,0,1,0,2,0,,,,,,,,3,1,0.6842105263157895,38,0,0,Loss,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-07-03,Yugoslavia,Sweden,0,1,1,2,0,,,,,,,,2,0,0.4736842105263157,19,0,0,Loss,1974
1974 FIFA Men's World Cup,third-place match,0,1,1974-07-06,Brazil,Poland,1,0,0,1,0,,,,,,,,1,0,0.6842105263157895,38,0,0,Loss,1974
1974 FIFA Men's World Cup,third-place match,0,1,1974-07-06,Poland,Brazil,0,1,1,0,0,,,,,,,,1,0,0.0,1,0,0,Win,1974
1974 FIFA Men's World Cup,final,0,1,1974-07-07,Netherlands,West Germany,1,0,1,2,0,,,,,,,,3,0,0.0,2,0,0,Loss,1974
1974 FIFA Men's World Cup,final,0,1,1974-07-07,West Germany,Netherlands,0,1,2,1,0,,,,,,,,1,0,0.6428571428571429,28,0,0,Win,1974
1978 FIFA Men's World Cup,group stage,1,0,1978-06-02,Italy,France,1,0,2,1,0,,,,,,,,1,0,0.5517241379310345,29,0,0,Win,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-02,France,Italy,0,1,1,2,0,,,,,,,,2,0,0.4117647058823529,17,0,0,Loss,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-02,Argentina,Hungary,1,0,2,1,1,,,,,,,,1,0,0.4090909090909091,22,0,0,Win,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-02,Hungary,Argentina,0,1,1,2,0,,,,,,,,2,2,0.5652173913043478,23,0,0,Loss,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-03,Brazil,Sweden,1,0,1,1,0,,,,,,,,1,0,0.6444444444444445,45,0,0,Draw,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-03,Sweden,Brazil,0,1,1,1,0,,,,,,,,1,0,0.44,25,0,0,Draw,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-03,Peru,Scotland,1,0,3,1,0,,,,,,,,1,0,0.3333333333333333,6,0,0,Win,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-06,Hungary,Italy,0,1,1,3,0,,,,,,,,2,0,0.5652173913043478,23,0,0,Loss,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-06,West Germany,Mexico,1,0,6,0,0,,,,,,,,1,0,0.6857142857142857,35,0,0,Win,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-06,Mexico,West Germany,0,1,0,6,0,,,,,,,,1,0,0.1428571428571428,21,0,0,Loss,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-06,France,Argentina,0,1,1,2,0,,,,,,,,1,0,0.4117647058823529,17,0,0,Loss,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-07,Spain,Brazil,0,1,0,0,0,,,,,,,,1,0,0.4,15,0,0,Draw,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-07,Netherlands,Peru,1,0,0,0,0,,,,,,,,1,0,0.5555555555555556,9,0,0,Draw,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-10,West Germany,Tunisia,1,0,0,0,0,,,,,,,,1,0,0.6857142857142857,35,0,0,Draw,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-10,Tunisia,West Germany,0,1,0,0,0,,,,,,,,1,0,0.0,0,0,0,Draw,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-10,Italy,Argentina,0,1,1,0,0,,,,,,,,1,0,0.5517241379310345,29,0,0,Win,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-11,Sweden,Spain,0,1,0,1,0,,,,,,,,1,0,0.44,25,0,0,Loss,1978
1978 FIFA Men's World Cup,group stage,1,0,1978-06-11,Scotland,Netherlands,1,0,3,2,0,,,,,,,,1,0,0.125,8,0,0,Win,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-14,Argentina,Poland,1,0,2,0,1,,,,,,,,1,0,0.4090909090909091,22,0,0,Win,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-14,Poland,Argentina,0,1,0,2,0,,,,,,,,1,0,0.75,8,0,0,Loss,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-18,Peru,Poland,1,0,0,1,0,,,,,,,,2,0,0.3333333333333333,6,0,0,Loss,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-18,Poland,Peru,0,1,1,0,0,,,,,,,,2,0,0.75,8,0,0,Win,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-18,Netherlands,West Germany,1,0,2,2,0,,,,,,,,2,1,0.5555555555555556,9,0,0,Draw,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-18,West Germany,Netherlands,0,1,2,2,0,,,,,,,,1,0,0.6857142857142857,35,0,0,Draw,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-21,Austria,West Germany,1,0,3,2,0,,,,,,,,2,0,0.5,12,0,0,Win,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-21,West Germany,Austria,0,1,2,3,0,,,,,,,,1,0,0.6857142857142857,35,0,0,Loss,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-21,Italy,Netherlands,1,0,1,2,0,,,,,,,,3,0,0.5517241379310345,29,0,0,Loss,1978
1978 FIFA Men's World Cup,second group stage,1,0,1978-06-21,Netherlands,Italy,0,1,2,1,0,,,,,,,,2,0,0.5555555555555556,9,0,0,Win,1978
1978 FIFA Men's World Cup,third-place match,0,1,1978-06-24,Brazil,Italy,1,0,2,1,0,,,,,,,,2,0,0.6444444444444445,45,0,0,Win,1978
1978 FIFA Men's World Cup,third-place match,0,1,1978-06-24,Italy,Brazil,0,1,1,2,0,,,,,,,,1,0,0.5517241379310345,29,0,0,Loss,1978
1978 FIFA Men's World Cup,final,0,1,1978-06-25,Argentina,Netherlands,1,0,3,1,1,,,,,,,,2,0,0.4090909090909091,22,1,0,Win,1978
1978 FIFA Men's World Cup,final,0,1,1978-06-25,Netherlands,Argentina,0,1,1,3,0,,,,,,,,3,0,0.5555555555555556,9,1,0,Loss,1978
1982 FIFA Men's World Cup,group stage,1,0,1982-06-13,Argentina,Belgium,1,0,0,1,0,,,,,,,,1,0,0.4827586206896552,29,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-13,Belgium,Argentina,0,1,1,0,0,,,,,,,,1,0,0.1111111111111111,9,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-14,Italy,Poland,1,0,0,0,0,,,,,,,,2,0,0.5555555555555556,36,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-14,Poland,Italy,0,1,0,0,0,,,,,,,,1,0,0.6428571428571429,14,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-15,Cameroon,Peru,0,1,0,0,0,,,,,,,,1,0,0.0,0,0,0,Draw,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-15,Hungary,El Salvador,1,0,10,1,0,,,,,,,,2,0,0.5,26,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-16,West Germany,Algeria,1,0,1,2,0,,,,,,,,1,0,0.6097560975609756,41,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-16,Algeria,West Germany,0,1,2,1,0,,,,,,,,1,0,0.0,0,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-16,England,France,1,0,3,1,0,,,,,,,,1,0,0.4166666666666667,24,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-17,Chile,Austria,1,0,0,1,0,,,,,,,,1,0,0.3888888888888889,18,0,0,Loss,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-17,Austria,Chile,0,1,1,0,0,,,,,,,,2,0,0.5,18,0,0,Win,1982
1982 FIFA Men's World Cup,group stage,1,0,1982-06-17,Northern Ireland,Yugoslavia,0,1,0,0,0,,,,,,,,1,0,0.4,5,0,0,Draw,1982
