tournament_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_name,city_name,country_name,team_name,team_code,opponent_name,opponent_code,home_team,away_team,goals_for,goals_against,extra_time,penalty_shootout,penalties_for,penalties_against,result,is_host,yellow_cards,red_cards,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,team_prior_matches,team_prior_win_rate,team_prior_goals_scored_avg,team_prior_goals_conceded_avg,opp_prior_matches,opp_prior_win_rate,opp_prior_goals_scored_avg,opp_prior_goals_conceded_avg,h2h_prior_matches,h2h_prior_win_rate,team_curr_form_pts_avg,team_curr_goals_scored_avg,team_curr_goals_conceded_avg,opp_curr_form_pts_avg,opp_curr_goals_scored_avg,opp_curr_goals_conceded_avg,possession_h1,possession_h2,shots_h1,shots_h2,shots_on_target_h1,shots_on_target_h2,passes_completed_h1,passes_completed_h2,passes_attempted_h1,passes_attempted_h2,corners_h1,corners_h2,fouls_h1,fouls_h2,yellow_cards_h1,yellow_cards_h2,red_cards_h1,red_cards_h2,outcome
1970 FIFA Men's World Cup,semi-finals,not applicable,0,1,0,0,1970-06-17,16:00,Estadio Azteca,Mexico City,Mexico,Italy,ITA,West Germany,DEU,1,0,4,3,1,0,0,0,win,0,4,0,,,,,,,,20,0.6,1.9,1.1,22,0.5909090909090909,2.5454545454545454,1.6363636363636365,1,0.0,2.0,1.25,0.25,3.0,3.25,1.5,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Win
1970 FIFA Men's World Cup,semi-finals,not applicable,0,1,0,0,1970-06-17,16:00,Estadio Azteca,Mexico City,Mexico,West Germany,DEU,Italy,ITA,0,1,3,4,1,0,0,0,lose,0,2,0,,,,,,,,22,0.5909090909090909,2.5454545454545454,1.6363636363636365,20,0.6,1.9,1.1,1,0.0,3.0,3.25,1.5,2.2,1.8,0.8,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,third-place match,not applicable,0,1,0,0,1970-06-20,16:00,Estadio Azteca,Mexico City,Mexico,West Germany,DEU,Uruguay,URY,1,0,1,0,0,0,0,0,win,0,1,0,,,,,,,,22,0.5909090909090909,2.5454545454545454,1.6363636363636365,20,0.6,2.6,1.4,1,1.0,2.4,3.2,2.0,1.4,0.8,0.8,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Win
1970 FIFA Men's World Cup,third-place match,not applicable,0,1,0,0,1970-06-20,16:00,Estadio Azteca,Mexico City,Mexico,Uruguay,URY,West Germany,DEU,0,1,0,1,0,0,0,0,lose,0,1,0,,,,,,,,20,0.6,2.6,1.4,22,0.5909090909090909,2.5454545454545454,1.6363636363636365,1,0.0,1.4,0.8,0.8,2.5,2.8333333333333335,1.6666666666666667,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,final,not applicable,0,1,0,0,1970-06-21,12:00,Estadio Azteca,Mexico City,Mexico,Brazil,BRA,Italy,ITA,1,0,4,1,0,0,0,0,win,0,1,0,,,,,,,,32,0.625,2.625,1.3125,20,0.6,1.9,1.1,1,0.0,3.0,3.0,1.2,2.2,1.8,0.8,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Win
1970 FIFA Men's World Cup,final,not applicable,0,1,0,0,1970-06-21,12:00,Estadio Azteca,Mexico City,Mexico,Italy,ITA,Brazil,BRA,0,1,1,4,0,0,0,0,lose,0,1,0,,,,,,,,20,0.6,1.9,1.1,32,0.625,2.625,1.3125,1,1.0,2.2,1.8,0.8,3.0,3.1666666666666665,1.1666666666666667,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Loss
1974 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1974-06-13,17:00,Waldstadion,Frankfurt,Germany,Yugoslavia,YUG,Brazil,BRA,0,1,0,0,0,0,0,0,draw,0,2,0,,,,,,,,19,0.4736842105263157,1.736842105263158,1.4210526315789471,38,0.6842105263157895,2.710526315789474,1.2894736842105263,3,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Draw
1974 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1974-06-14,16:00,Olympiastadion,Berlin,Germany,Chile,CHL,West Germany,DEU,0,1,0,1,0,0,0,0,lose,0,3,1,,,,,,,,15,0.4666666666666667,1.4666666666666666,1.4666666666666666,28,0.6428571428571429,2.607142857142857,1.6428571428571428,1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,Loss
1974 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1974-06-14,19:30,Volksparkstadion,Hamburg,Germany,East Germany,DDR,Australia,AUS,1,0,2,0,0,0,0,0,win,0,3,0,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,Win
1974 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1974-06-14,19:30,Westfalenstadion,Dortmund,Germany,Zaire,COD,Scotland,SCO,1,0,0,2,0,0,0,0,lose,0,1,0,,,,,,,,0,0.0,0.0,0.0,5,0.0,0.8,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Loss
